beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
na kə tsou tɑur tə pai ta i kuo tə yɛ ʂʅ tɕin,na ko kan nu ni pa ta i ko te ye tɕin,a ko tsəu lu lɛ pa ta i ko tɛ iɛ tɕin,nɑ koʔ tsei lu kəʔ lɔ kuõ pəʔ sen kɔ dei kəʔ dɑ ʔi ɦyəʔ zɿ ku təʔ lɔ,nei kɤ tsou taur ti pa ta i kuo ti yɛ tɕin,la kə tsɯ lu tiəʔ tɕiɯ pa ta tʂˈɑ̃ kʊ tiəʔ yɐʔ tɕin,nə kə ko lu nə æ tA i ko nə iɛ fA tɕĩ,lɛ kə tsou lu ti tɕiou pa ta i kuə ti yə tɕĩn,ke tsak kuo lu ke ŋin pa kie mien au em tet iat kin,he tsɑʔ kuo lu ko tɕˈiu lɑʔ tˈai i ku tɛʔ yɵʔ tɕin,uʌʔ xuæ tsəu tɔ tɔ tiʌʔ pɑ uæ ɕy ŋɔ ʐʌʔ kuei tiʌʔ yʌʔ tɕiŋ,diɪʔ ɦəʔ tsɤ lu ȵiŋ dʑiɤ ne da i ku təʔ ɦyɪʔ tɕiŋ,hɯ kai kue lou naŋ tsu zu keŋ tui kai tua lau kaʔ i mãu bo piaŋ ou,hit le laŋ tsioŋ tua i gui lu an,vai tsəu ləu təʔ pa ta tsˈɒ̃ kuɤ tiəʔ yəʔ tɕiəŋ,nei kə tsou tɑur ti pɑ tɑ i kuo ti ye tɕin,ɦɛ løy ku naŋ de da ji puɔ loŋ jy tɕaŋ,na kuo tsəu nəu ti tsəu pa ta i kuo tɤ ye tɕin,nei kɤ kan lu ti pa ta i tɕiɤu yɤ kuɤ ti ian ʂʅ,u kɤ tsou lu ti pa ta tʂˈaŋ yɛ kuo yɛ tɕiẽ,kɔ kɔ haŋ lou kɛ jɐn tsœŋ kin lɐu lam tou jyt sɐt,nɒ tʂɒ tsəɯ nəɯ ti pɒ dai i ku tæ yæ tɕin,nɛ kɔ tsɯ lv̩ tsɿ pa ta j ku tʂu yu tɕiə̃ na
xou lai nə pei fəŋ tɕiou mei tʂɤ lə,xəu nai ne pe foŋ mo te fa no,kan xəu pɛ foŋ mei tɛ pan fa la,ɦei sei lE poʔ foŋ məʔ ʔiø bẼ fɑʔ,xou yər pei fəŋ mei tʂaur lə,xɯ lE pɐʔ fəŋ me fɐʔ tsɿ,xəu ʂəu pə foŋ məu tə pÃ fA,xou lɛ pə fə̃n mə tʂʅ lɔ,tau mi ha pet fuŋ mo pˈan fap pe,hɛu pi pɛʔ fuŋ mɑu iu faʔ,xəu ʂəu ʐʌʔ pʌʔ xuŋ mʌʔ pɑŋ xuʌʔ,ɦɤ sɤ le poʔ foŋ ɦm̩ məʔ tɕiŋ ləʔ,maŋ au pak huaŋ bo piaŋ ou,au lai pak hɔŋ bo huat to,xəu lai pei fəŋ məʔ far lie,xou iər pei fəŋ mei tʂɤ lə,pai hoŋ nau ba ho,xəu nai pɤ foŋ mau tɤ fa tsɿ,tɔ xɤu tˈɤu pei fɤŋ mɤ= tɤu ȵian liɤ,pei fəŋ mo far liɛ,hɐu mei pɐk fuŋ mou kɐi lak,ɦəɯ pəi dəɯ pæ ɸən maɯ tæ ban ɸɒ tɒ,xɯ lɛ pɨ fə̃ mɔ pã fa liɔ
tʂʅ xɑu la tɑu lə,tɕiəu tsɿ xau suan no,təuɿ tsɿ xao suan la,tsəʔ hɔ lɑ tɔ tə,tʂʅ xau tɕiou suan lə,tʂəʔ xɔ tɕiɯ sʊ̃ tʂə,tʂʅ xɔ suÃ lə,tʂʅ xɔ pa tɔ lɔ,,tsɨʔ hɑu pɑ pɑ pɑ,tsɿ xɔ tɕiəu suɑŋ liɑ,tsəʔ hɔ vəʔ tsˈɿ ləʔ,tsi ho suaŋ ou,tsi ho suaʔ suaʔ kˈi,tsɿ xau tɕiəu suæ̃ lie,ie tɕiou suan lə,tsɿ hɜ ɕi ɦuɔ,tsɿ xau tsəu san niau,iɤ tɕiɤu tsuɤ pa liɤ,tsɿ tei suã liɛ,wɐi jɐu tsɐu syn sou lak,tʂʅ haɯ dziəɯ sɔn tɒ,tsɿ xɔ suã liɔ
kuo lə i tʂən tsɿ,ko no i tsən,ko ao i xa xa,ku lə ʔiəʔ ɕieʔ əl,kuo lə i xuər,kʊ iəʔ ʂɐʔ,ko lə i ɕiɔ xA,kuə lɔ i ʂʅ ɯ,kuo e it ha,kuo liɛu iʔ kˈiɛʔ sɿ,kuei lɔ iʌʔ tʂəŋ tʂəŋ,ne tsoŋ məʔ,keʔ tsek kˈuŋ kiã,bo gua ku,kuɤ lau iəʔ tsəŋ tsəŋ,kuo lə pu xuər,ku ji o ŋ̩,kuo niau i xar,iɤu kuɤ liɤ i tʂɤŋ tsɿ,kuo liɛ i xa,kwɔ tsɔ jɐt tsɐn,ku tɒ i kˈæ dʑi,ku liɔ j kua kua ɛ
tˈai iɑŋ tʂˈu lai lə,tˈai iaŋ koŋ tsˈu nai no,tˈai iaŋ təu tsˈu lai lo,tˈE ɦiɑŋ tsˈɥəʔ lE tə,tˈai iaŋ tʂˈu lai lə,ʐəʔ tˈɯ tʂˈuəʔ lE tʂə,tˈæ iÃ tʂˈu læ lə,ʐʅ tˈou pfˈu lɛ lɔ,ŋit tˈeu tsˈut loi ie,ȵiʔ tˈɛu tsˈɨʔ lai liɛu,ʐʌʔ təu iE tsˈuʌʔ læ lɑ,tˈa ɦiã tsˈəʔ le ləʔ,zik tˈau tsˈuk lai ou,tˈai iɔŋ tsˈut lai lo,iɒ̃ pˈɤ tsˈuəʔ lai lie,tˈai iɑŋ tsˈu lai lə,tˈa ji sa tɕˈy,tˈai iaŋ tɕˈy nai niau,tˈai iɑŋ tʂˈu lai liɤ,ər tˈou pfˈu lai liɛ,jɐt tˈɐu tsˈøt lɐi lak,tˈai ian tɕˈy nai tɒ,ʐɛ tˈɯ ɛ tʂˈv̩ lɛ liɔ
tˈa xuo la la tə nəm i ʂai,tˈa xo pˈiau pˈiau ni i sai,la zɛ xoŋ xoŋ lɛ i sai,tˈɑ ho lɑʔ lɑʔ ti ʔiəʔ sE,tˈa xuo la ti i ʂai,tˈa ʐɐʔ xu xu iəʔ ʂE,tˈə xo lA lA nə ʂæ lə i xA,tsʅ la la ti i ʂɛ,ŋit tˈeu lat lat kun it sai,tˈɵʔ tˈai ko ȵiʔ tˈɛu sai iʔ hɑ,uʌʔ tɕiɑ xuei ŋɔ ŋɔ ti iʌʔ sæ,ɦi laʔ huaʔ huaʔ ɦəʔ iɪʔ so,i tsek e pˈak tˈoŋ kõi sio kue hue,lit tˈau tsˈiaʔ iam iam tit pˈak,tˈa tsəʔ tsai tsai ti iəʔ sai xɒ̃,tˈɑ xuo ʂɑu xuo liɑu ti i sai,miɛ piɛ ȵi dɤu tsɿ ji sa,tˈa xuo na na ti i sai,tˈa nuan nuan xuɤ xuɤ ti i sai,tˈa ləŋ kər ti sai,kˈøy hiŋ hɐp hɐp kɐm jɐt sai,tˈɒ ho nɒ nɒ ti i sai,tɕia ʂɔ xuə̃ sɿ la tsɿ j sɛ
nei kə tsou tɑur tə xou ta i kei tˈuo ɕia lai lə,na ko kan nu ni ma saŋ tɕiəu pa na tɕian xəu ta i tˈo no,a ko tsəu lu lɛ li ma təu pa a tɕian xəu ta i tˈo ɕia lai la,nɑ koʔ tsei lu kəʔ lɔ kuõ tɑŋ mɑŋ dʑiø pəʔ kəʔ dʑiẼ ɦei dɑ ʔi tˈoʔ loʔ lE tə,nei kɤ tsou taur ti ma ʂaŋ tɕiou pa nei tɕian xou ta i tˈip ɕia lai lə,la kə tsɯ lu tiəʔ kən tʂə tɕiɯ pa xɯ ta tʂˈɑ̃ tˈuəʔ təʔ tʂə,nə kə ko lu nə mA ʂÃ tɕiəu æ nə tɕiɛ̃ xəu tA i tˈo ɕiA læ lə,lɛ kə tsou lu ti i xa tsɿ tɕiou pa tˈa ti lɛ kə xou ta i tˈuə xa lɛ lɔ,ke tsak kuo lu keŋin lit lak tsˈiu pa ki sən hoŋ ke kˈian pˈun mien au tˈot ha loi ie,he tsɑʔ kuo lu ko fuŋ kuai lɑʔ he tɕˈiɛn hɛu tˈai i tɵʔ pɨ liɛu,uʌʔ xuæ tsəu tɔ tɔ tiʌʔ tɕiŋ kɑŋ tɕiŋ tɕiəu pɑ uʌʔ tɕiE tɕiE ɕy ŋɔ ʐʌʔ tˈuʌʔ xɑ læ liɑ,diɪʔ ɦəʔ tsɤ lu ȵiŋ ma zɑ̃ ʑiɤ ne i dʑi da i tˈəʔ ɦo le ləʔ,hɯ kai kue lou naŋ tsiak si tsiu tui kai tua lau kaʔ i tˈɯŋ tˈɯŋ tiau,hit le laŋ tioʔ kuã kin ka hit liã tua i tˈŋ loʔ lai,vai tsəu ləu təʔ liəʔ ma tɕiəu pa ta tsˈɒ̃ tˈuaʔ xa lai lie,nei kə tsou tɑur ti mɑ ʂɑŋ tɕiou pɑ nei tɕiar xou tɑ i lie ɕiɑ lai lə,ɦɛ løy ku naŋ ky tɕaŋ de gau da ji muɔ lo tˈai,na kuo tsəu nəu ti ma saŋ tsəu pa na tɕiɛn xəu ta i tˈip ɕia nai niau,nei kɤ kan lu ti pa nei tɕian tsɿ xɤu ta i li mer tɕiɤu tˈuɤ tio liɤ,u kɤ tsou lu ti sai ti ʂou pu liau,kɔ kɔ haŋ lou kɛ jɐn lin tsˈøy tsɐu tsœŋ kɔ kin hɐu tai lɐu tsˈøy lɔk lɐi lak,nɒ tʂɒ tsəɯ nəɯ ti niəɯ ʂʅ dziəɯ pɒ nɒ tʂɒ ɦəɯ i ɸu tˈo kɒ tɒ,nɛ kɔ tsɯ lv̩ tsɿ tɕiə̃ tʂɔ tɕiɯ pa nɛ kɔ xɯ ta j tˈu tʂu xa lɛ liɔ
tʂei ɕiar pei fəŋ tʂʅ xau ʐən tˈou lə,tse tsən tsɿ pe foŋ tsɿ te zən su,tsɿ xuei pɛ foŋ tsɿ xao tsˈen zen,poʔ foŋ tsəʔ hɔ dzen zen,tʂei ɕiar pei fəŋ tʂʅ xau tʂˈəŋ ʐən,ti xue tsə pɐʔ fəŋ tʂəʔ xɔ tʂˈən ʐən,tʂʅ xA tsɿ pə foŋ tʂʅ tə tʂˈə̃ ʐə̃,tʂʅ i xa pə fə̃n tʂʅ xɔ ʐə̃n fu,ke ha pet fuŋ tsɿ hau sən ŋin,kɑʔ pɛʔ fuŋ tsɨʔ hɑu tsˈɨn lɨn,tsʌʔ xɑ xɑ pʌʔ xuŋ tsɿ xɔ tʂˈəŋ ʐəŋ,ne məʔ poʔ foŋ tsəʔ hɔ zəŋ ȵiŋ,tsi e pak huaŋ bo piaŋ tsiã seŋ ziŋ tã,tsit siã pak hɔŋ tsi ho lin su,tsəʔ xa pei fəŋ tsɿ xau tsˈəŋ zəŋ,tsei ɕiɑr pei fəŋ tsɿ xɑu in lə,ki naŋ ji lei pai hoŋ tsɿ hɜ zeŋ ȵaŋ,tsɤ xar pɤ foŋ tsɿ xau tsˈən nən,tsei i xa pei fɤŋ tɕiɤu tsɿ tei ʐɤŋ tʂɑŋ liɤ,ma ʂaŋ tsou pa xou ta tʂˈaŋ tˈuo xa lai liɛ,nei ha pɐk fuŋ wɐi jɐu siŋ jiŋ,ko ɦɒ tsɿ pæ ɸən tʂʅ haɯ in ɕy,tʂʅ j kua pi fə̃ tsɿ xɔ tʂˈə̃ ʐə̃
tˈam lia tʂuəŋ tɕianr xai ʂʅ tˈai iɑŋ tə nəŋ nai ta,tˈa mən niaŋ ko tsoŋ tɕian xai sɿ tˈai iaŋ ni pən sɿ ta,la men liaŋ ko tsoŋ tɕian xai sɿ tˈai iaŋ lɛ pen sɿ ta,tˈɑ men liɑŋ koʔ tɑŋ tsoŋ ɦɑ zɿ tˈE ɦiɑŋ kəʔ pen zɿ do,tˈa mən lia taŋ tʂuŋ xai ʂʅ tˈai iaŋ ti tʂaŋ tʂˈəŋ ta,tˈa liɑ̃ kə tɑ̃ tʂəŋ xE ʂʅ ʐəʔ tˈɯ pən sɿ ta,tˈə mə̃ liÃ kə tÃ tʂoŋ xæ ʂʅ tˈæ iÃ nə pə̃ sɿ tA,tˈa mə̃n liɑ̃ jə tɑ̃ pfə̃n xɛ̃n ʂʅ  ʐʅ tˈou ti pə̃n ʂʅ ta,ki lioŋ ke ŋin toŋ tsuŋ han he ŋit tˈeu kuo iu pun sɿ,tɕie mɨn liɔŋ ko tɔŋ tsuŋ haʔ sɿ ȵiʔ tˈɛu ko pɨn sɿ tˈai,uʌʔ tɕiɑ liɑŋ xuæ tuə tsuŋ xɑŋ sɿ ʐʌʔ təu iE tiʌʔ pəŋ sɿ tei,liã ka dɤ tɑ̃ tsoŋ ɦe zɿ tˈa ɦiã ɦəʔ pəŋ zɿ du,i naŋ nõ naŋ huã si a zik tˈau kai kˈaŋ kˈue ŋẽ,in lŋ̩ e tioŋ kan ia si tˈai iɔŋ pun su kˈaʔ tua,tˈa məʔ lia kɤ xai sɿ nia iɒ̃ pˈɤ təʔ pəŋ sɿ ta,tˈɑ mən liɑ tɑŋ tsuŋ xai sɿ tˈai iɑŋ ti pən sɿ tɑ,gi liɛ kai va zɿ tˈa ji ke paŋ zɿ dɤu le,tˈa məm niaŋ kuo ni tˈəu xai sɿ tˈai iaŋ ti pən sɿ ta,tɔ tˈɤu lai tˈa mɤŋ liɑŋ kɤ ʐɤŋ tɑŋ tʂuŋ xan sɿ tˈai iɑŋ ti tʂɑŋ tʂˈɤŋ ta,tʂei i xa pei fəŋ tsɿ tei ʐẽ liɛ,kˈøy tei lœŋ kɔ tsuŋ kan tsuŋ hɐi jɐt tˈɐu kɛ pun si tai,tˈɒ in nian ko tʂən kan ɦai ʂʅ tˈai ian ti pan ʂʅ dai,tɕia mə̃ lia tɔ̃ tʂuə̃ xɛ sɿ ʐɛ tˈɯ ɛ tsɿ pə̃ sɿ ta
,,,,,,,,,,,,,,,,,,,tˈa lia taŋ pfəŋ ni xai sɿ ər tˈou ti pẽ sɿ ta,,,
,,,,,,,,,,,,,,,,,,,,,,
